Time,NAT counts,Tunnels,CPU,%usr,%sys,%idle,Flow_count,Handoffq_ drops,Total,Used,Free,Shared,Buffer,Cached
9:10:23 AM,,,0,38.89,36.67,14.44,,,,,,,,
9:10:23 AM,,,1,45.92,25.51,8.16,,,,,,,,
9:10:23 AM,,,2,52.69,31.18,12.9,,,,,,,,
9:10:23 AM,,,3,30.59,27.06,31.76,,,,,,,,
9:10:23 AM,,,4,45.56,27.78,21.11,,,,,,,,
9:10:23 AM,,,5,25.93,33.33,33.33,,,,,,,,
9:10:23 AM,,,6,28.74,37.93,22.99,,,,,,,,
9:10:23 AM,,,7,26.92,32.05,25.64,,,,,,,,
9:10:24 AM,,,all,36.17,36.46,15.99,,,,,,,,
9:10:24 AM,,,0,25,50,14.29,,,,,,,,
9:10:24 AM,,,1,51.49,26.73,1.98,,,,,,,,
9:10:24 AM,,,2,61.22,32.65,3.06,,,,,,,,
9:10:24 AM,,,3,25,35.71,28.57,,,,,,,,
9:10:24 AM,,,4,25.61,36.59,25.61,,,,,,,,
9:10:24 AM,,,5,22.78,40.51,26.58,,,,,,,,
9:10:24 AM,,,6,39.53,34.88,15.12,,,,,,,,
9:10:24 AM,,,7,30,37.5,18.75,,,,,,,,
9:10:25 AM,,,all,37.69,37.83,12.94,,,,,,,,
9:10:25 AM,,,0,33.7,47.83,7.61,,,,,,,,
9:10:25 AM,,,1,49.49,26.26,0,,,,,,,,
9:10:25 AM,,,2,42.35,31.76,17.65,,,,,,,,
9:10:25 AM,,,3,29.07,41.86,19.77,,,,,,,,
9:10:25 AM,,,4,55.91,30.11,7.53,,,,,,,,
9:10:25 AM,,,5,24.69,41.98,24.69,,,,,,,,
9:10:25 AM,,,6,36.67,37.78,15.56,,,,,,,,
9:10:25 AM,,,7,25.88,47.06,14.12,,,,,,,,
9:10:27 AM,,,all,36.07,39.04,13.3,,,32935576.0,2503116.0,30432460.0,4785948.0,0.0,960800.0
9:10:27 AM,,,0,32.97,41.76,9.89,,,32935576.0,2503116.0,30432460.0,4785948.0,0.0,960800.0
9:10:27 AM,,,1,49,25,0,,,32935576.0,2503116.0,30432460.0,4785948.0,0.0,960800.0
9:10:27 AM,,,2,38.64,35.23,19.32,,,32935576.0,2503116.0,30432460.0,4785948.0,0.0,960800.0
9:10:27 AM,,,3,20.73,47.56,21.95,,,32935576.0,2503116.0,30432460.0,4785948.0,0.0,960800.0
9:10:27 AM,,,4,52.69,34.41,8.6,,,32935576.0,2503116.0,30432460.0,4785948.0,0.0,960800.0
9:10:27 AM,,,5,23.46,43.21,22.22,,,32935576.0,2503116.0,30432460.0,4785948.0,0.0,960800.0
9:10:27 AM,,,6,31.33,44.58,15.66,,,32935576.0,2503116.0,30432460.0,4785948.0,0.0,960800.0
9:10:27 AM,,,7,34.83,43.82,12.36,,,32935576.0,2503116.0,30432460.0,4785948.0,0.0,960800.0
9:10:28 AM,,,all,39.61,36.26,12.41,65537.0,45090672.0,,,,,,
9:10:28 AM,,,0,38.2,41.57,10.11,65537.0,45090672.0,,,,,,
9:10:28 AM,,,1,60,25,0,65537.0,45090672.0,,,,,,
9:10:28 AM,,,2,31.76,42.35,17.65,65537.0,45090672.0,,,,,,
9:10:28 AM,,,3,31.11,44.44,17.78,65537.0,45090672.0,,,,,,
9:10:28 AM,,,4,50,34.78,9.78,65537.0,45090672.0,,,,,,
9:10:28 AM,,,5,44.94,28.09,19.1,65537.0,45090672.0,,,,,,
9:10:28 AM,,,6,28.74,32.18,13.79,65537.0,45090672.0,,,,,,
9:10:28 AM,,,7,28.24,43.53,12.94,65537.0,45090672.0,,,,,,
9:10:29 AM,,,all,36.57,38.43,14.14,,,,,,,,
9:10:29 AM,,,0,48.94,39.36,5.32,,,,,,,,
9:10:29 AM,,,1,49,27,0,,,,,,,,
9:10:29 AM,,,2,31.33,37.35,22.89,,,,,,,,
9:10:29 AM,,,3,32.58,39.33,20.22,,,,,,,,
9:10:29 AM,,,4,45.45,38.64,11.36,,,,,,,,
9:10:29 AM,,,5,24.1,38.55,24.1,,,,,,,,
9:10:29 AM,,,6,26.19,45.24,19.05,,,,,,,,
9:10:29 AM,,,7,30.38,44.3,13.92,,,,,,,,
9:10:30 AM,,,all,38.95,33.28,14.53,,,,,,,,
9:10:30 AM,,,0,38.89,37.78,12.22,,,,,,,,
9:10:30 AM,,,1,55,24,0,,,,,,,,
9:10:30 AM,,,2,36.05,38.37,17.44,,,,,,,,
9:10:30 AM,,,3,46.07,32.58,14.61,,,,,,,,
9:10:30 AM,,,4,31.87,36.26,19.78,,,,,,,,
9:10:30 AM,,,5,27.78,33.33,27.78,,,,,,,,
9:10:30 AM,,,6,41.18,27.06,14.12,,,,,,,,
9:10:30 AM,,,7,29.33,38.67,14.67,,,,,,,,
9:10:31 AM,,,all,38.21,36.93,13.92,,,,,,,,
9:10:31 AM,,,0,29.89,44.83,12.64,,,,,,,,
9:10:31 AM,,,1,47.47,25.25,1.01,,,,,,,,
9:10:31 AM,,,2,41.57,37.08,15.73,,,,,,,,
9:10:31 AM,,,3,59.55,25.84,10.11,,,,,,,,
9:10:31 AM,,,4,33.72,36.05,19.77,,,,,,,,
9:10:31 AM,,,5,31.82,38.64,22.73,,,,,,,,
9:10:31 AM,,,6,32.53,40.96,18.07,,,,,,,,
9:10:31 AM,,,7,26.51,49.4,13.25,,,,,,,,
