Date,Flow_count,Handoffq_drops,,,,,,,,
3:53:12 AM,65770,718801,,,,,,,,
  , ,,,,,,,,,
3:53:12 AM,65770,718801,,,,,,,,
  , ,,,,,,,,,
3:53:13 AM,65770,718801,,,,,,,,
  , ,,,,,,,,,
3:53:13 AM,65770,718801,,,,,,,,
  , ,,,,,,,,,
3:53:13 AM,65770,718801,,,,,,,,
  , ,,,,,,,,,
3:53:14 AM,65771,718801,,,,,,,,
  , ,,,,,,,,,
3:53:15 AM,65771,718801,,,,,,,,
  , ,,,,,,,,,
3:53:16 AM,65771,718801,,,,,,,,
  , ,,,,,,,,,
3:53:18 AM,65774,718801,,,,,,,,
  , ,,,,,,,,,
3:53:19 AM,65774,718801,,,,,,,,
  , ,,,,,,,,,
3:53:19 AM,65774,718801,,,,,,,,
  , ,,,,,,,,,
3:53:20 AM,65774,718801,,,,,,,,
  , ,,,,,,,,,
3:53:21 AM,65775,718801,,,,,,,,
  , ,,,,,,,,,
3:53:23 AM,65777,718801,,,,,,,,
  , ,,,,,,,,,
3:53:25 AM,65778,718801,,,,,,,,
  , ,,,,,,,,,
3:53:26 AM,65779,718801,,,,,,,,
  , ,,,,,,,,,
3:53:26 AM,65779,718801,,,,,,,,
  , ,,,,,,,,,
3:53:27 AM,65781,718801,,,,,,,,
  , ,,,,,,,,,
3:53:27 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
3:53:28 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
3:53:28 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
3:53:30 AM,65784,718801,,,,,,,,
  , ,,,,,,,,,
3:53:31 AM,65786,718801,,,,,,,,
  , ,,,,,,,,,
3:53:32 AM,65790,718801,,,,,,,,
  , ,,,,,,,,,
3:53:34 AM,65790,718801,,,,,,,,
  , ,,,,,,,,,
3:53:34 AM,65791,718801,,,,,,,,
  , ,,,,,,,,,
3:53:35 AM,65792,718801,,,,,,,,
  , ,,,,,,,,,
3:53:39 AM,65795,718801,,,,,,,,
  , ,,,,,,,,,
3:53:39 AM,65795,718801,,,,,,,,
  , ,,,,,,,,,
3:53:40 AM,65795,718801,,,,,,,,
  , ,,,,,,,,,
3:53:41 AM,65795,718801,,,,,,,,
  , ,,,,,,,,,
3:53:41 AM,65795,718801,,,,,,,,
  , ,,,,,,,,,
3:53:41 AM,65796,718801,,,,,,,,
  , ,,,,,,,,,
3:53:41 AM,65796,718801,,,,,,,,
  , ,,,,,,,,,
3:53:42 AM,65796,718801,,,,,,,,
  , ,,,,,,,,,
3:53:43 AM,65796,718801,,,,,,,,
  , ,,,,,,,,,
3:53:46 AM,65798,718801,,,,,,,,
  , ,,,,,,,,,
3:53:49 AM,65800,718801,,,,,,,,
  , ,,,,,,,,,
3:53:49 AM,65800,718801,,,,,,,,
  , ,,,,,,,,,
3:53:50 AM,65800,718801,,,,,,,,
  , ,,,,,,,,,
3:53:51 AM,65801,718801,,,,,,,,
  , ,,,,,,,,,
3:53:51 AM,65801,718801,,,,,,,,
  , ,,,,,,,,,
3:53:56 AM,65807,718801,,,,,,,,
  , ,,,,,,,,,
3:53:56 AM,65807,718801,,,,,,,,
  , ,,,,,,,,,
3:53:56 AM,65807,718801,,,,,,,,
  , ,,,,,,,,,
3:53:57 AM,65808,718801,,,,,,,,
  , ,,,,,,,,,
3:53:58 AM,65808,718801,,,,,,,,
  , ,,,,,,,,,
3:53:59 AM,65809,718801,,,,,,,,
  , ,,,,,,,,,
3:53:59 AM,65809,718801,,,,,,,,
  , ,,,,,,,,,
3:54:01 AM,65815,718801,,,,,,,,
  , ,,,,,,,,,
3:54:01 AM,65815,718801,,,,,,,,
  , ,,,,,,,,,
3:54:04 AM,65776,718801,,,,,,,,
  , ,,,,,,,,,
3:54:05 AM,65777,718801,,,,,,,,
  , ,,,,,,,,,
3:54:05 AM,65777,718801,,,,,,,,
  , ,,,,,,,,,
3:54:05 AM,65777,718801,,,,,,,,
  , ,,,,,,,,,
3:54:05 AM,65777,718801,,,,,,,,
  , ,,,,,,,,,
3:54:08 AM,65779,718801,,,,,,,,
  , ,,,,,,,,,
3:54:08 AM,65779,718801,,,,,,,,
  , ,,,,,,,,,
3:54:09 AM,65779,718801,,,,,,,,
  , ,,,,,,,,,
3:54:13 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
3:54:13 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
3:54:13 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
